route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,drt_advance_book_min,peak_offpeak
Q30,JA_F0-Weekday-135700_MISC_544,JA_F0-Weekday,JAMAICA LIRR,1,Q300306,0.0,0
Q4,JA_F0-Weekday-135700_MISC_576,JA_F0-Weekday,CAMBRIA HEIGHTS 235 ST via LINDEN,0,Q040050,0.0,0
Q5,JA_F0-Weekday-135800_MISC_562,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via MERRICK,1,Q050038,0.0,0
Q85,JA_F0-Weekday-135800_Q85_21,JA_F0-Weekday,ROSEDALE 147 AV,0,Q850286,0.0,0
Q84,JA_F0-Weekday-136000_MISC_569,JA_F0-Weekday,LAURELTON 238 ST via 120 AV,0,Q840026,0.0,0
Q5,JA_F0-Weekday-136200_MISC_563,JA_F0-Weekday,ROSEDALE LIRR via MERRICK,0,Q050035,0.0,0
Q4,JA_F0-Weekday-136300_MISC_545,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via LINDEN,1,Q040051,0.0,0
Q3,JA_F0-Weekday-136400_MISC_555,JA_F0-Weekday,JFK AIRPORT via FARMERS BL,1,Q030043,0.0,0
Q17,JA_F0-Weekday-136400_Q17_24,JA_F0-Weekday,JAMAICA MERRICK BL,1,Q170100,0.0,0
Q17,JA_F0-Weekday-136500_Q17_26,JA_F0-Weekday,FLUSHING MAIN ST STATION,0,Q170071,0.0,0
Q85,JA_F0-Weekday-136600_MISC_530,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q850283,0.0,0
Q4,JA_F0-Weekday-136900_Q4_12,JA_F0-Weekday,CAMBRIA HEIGHTS 235 ST via LINDEN,0,Q040050,0.0,0
Q85,JA_F0-Weekday-137000_MISC_542,JA_F0-Weekday,GREEN ACRES,0,Q850285,0.0,0
Q3,JA_F0-Weekday-137000_Q3_10,JA_F0-Weekday,JAMAICA 179 ST STATION 165 ST TERMINAL,0,Q030059,0.0,0
Q30,JA_F0-Weekday-137200_MISC_549,JA_F0-Weekday,JAMAICA LIRR,1,Q300304,0.0,0
Q5,JA_F0-Weekday-137200_MISC_566,JA_F0-Weekday,GREEN ACRES via MERRICK,0,Q050036,0.0,0
Q17,JA_F0-Weekday-137400_Q17_25,JA_F0-Weekday,JAMAICA MERRICK BL,1,Q170100,0.0,0
Q84,JA_F0-Weekday-137500_MISC_557,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q840027,0.0,0
Q30,JA_F0-Weekday-137500_Q30_15,JA_F0-Weekday,LITTLE NECK LITTLE NECK PKY,0,Q300027,0.0,0
Q85,JA_F0-Weekday-137600_MISC_568,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q850284,0.0,0
Q4,JA_F0-Weekday-137800_MISC_567,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via LINDEN,1,Q040051,0.0,0
Q5,JA_F0-Weekday-137900_MISC_564,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via MERRICK,1,Q050053,0.0,0
Q84,JA_F0-Weekday-138000_Q84_5,JA_F0-Weekday,LAURELTON 238 ST via 120 AV,0,Q840026,0.0,0
Q4,JA_F0-Weekday-138100_MISC_560,JA_F0-Weekday,CAMBRIA HEIGHTS 235 ST via LINDEN,0,Q040050,0.0,0
Q5,JA_F0-Weekday-138200_MISC_552,JA_F0-Weekday,ROSEDALE LIRR via MERRICK,0,Q050035,0.0,0
Q3,JA_F0-Weekday-138400_MISC_553,JA_F0-Weekday,JFK AIRPORT via FARMERS BL,1,Q030043,0.0,0
Q3,JA_F0-Weekday-138500_MISC_534,JA_F0-Weekday,JAMAICA 179 ST STATION 165 ST TERMINAL,0,Q030059,0.0,0
Q85,JA_F0-Weekday-138500_MISC_570,JA_F0-Weekday,ROSEDALE 147 AV,0,Q850286,0.0,0
Q17,JA_F0-Weekday-138500_Q17_27,JA_F0-Weekday,FLUSHING MAIN ST STATION,0,Q170071,0.0,0
Q17,JA_F0-Weekday-138600_MISC_547,JA_F0-Weekday,JAMAICA MERRICK BL,1,Q170100,0.0,0
Q85,JA_F0-Weekday-138600_MISC_556,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q850283,0.0,0
Q30,JA_F0-Weekday-138900_MISC_577,JA_F0-Weekday,JAMAICA LIRR,1,Q300306,0.0,0
Q5,JA_F0-Weekday-139000_Q5_16,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via MERRICK,1,Q050038,0.0,0
Q5,JA_F0-Weekday-139200_Q5_15,JA_F0-Weekday,ROSEDALE LIRR via MERRICK,0,Q050035,0.0,0
Q4,JA_F0-Weekday-139300_MISC_571,JA_F0-Weekday,CAMBRIA HEIGHTS 235 ST via LINDEN,0,Q040050,0.0,0
Q4,JA_F0-Weekday-139300_MISC_576,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via LINDEN,1,Q040051,0.0,0
Q84,JA_F0-Weekday-139500_MISC_569,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q840027,0.0,0
Q85,JA_F0-Weekday-139600_Q85_22,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q850284,0.0,0
Q30,JA_F0-Weekday-139700_MISC_559,JA_F0-Weekday,JAMAICA LIRR,1,Q300304,0.0,0
Q3,JA_F0-Weekday-140000_MISC_543,JA_F0-Weekday,JAMAICA 179 ST STATION 165 ST TERMINAL,0,Q030059,0.0,0
Q30,JA_F0-Weekday-140000_MISC_551,JA_F0-Weekday,LITTLE NECK LITTLE NECK PKY,0,Q300027,0.0,0
Q85,JA_F0-Weekday-140000_MISC_561,JA_F0-Weekday,GREEN ACRES,0,Q850285,0.0,0
