,10 AV/W 55 ST,AMSTERDAM AV/W 79 ST,9 AV/W 59 ST,BETHUNE ST/GREENWICH ST,AMSTERDAM AV/W 120 ST,AMSTERDAM AV/W 81 ST,AMSTERDAM AV/W 102 ST,AMSTERDAM AV/W 69 ST,COLUMBUS AV/W 61 ST,9 AV/W 20 ST,COLUMBUS AV/W 78 ST,AMSTERDAM AV/W 125 ST,AMSTERDAM AV/W 65 ST,AMSTERDAM AV/W 62 ST,AMSTERDAM AV/W 123 ST,COLUMBUS AV/W 94 ST,AMSTERDAM AV/W 75 ST,W 14 ST/10 AV,10 AV/W 19 ST,AMSTERDAM AV/W 118 ST,AMSTERDAM AV/W 116 ST,RIVERSIDE DR/W 139 ST,COLUMBUS AV/CATHEDRAL PY,10 AV/WEST 16 ST,COLUMBUS AV/W 66 ST,COLUMBUS AV/W 75 ST,10 AV/W 25 ST,10 AV/W 40 ST,GREENWICH ST/HORATIO ST,9 AV/W 40 ST,10 AV/W 53 ST,10 AV/W 45 ST,AMSTERDAM AV/W 114 ST,W 135 ST/RIVERSIDE DR,10 AV/W 37 ST,HUDSON ST/BETHUNE ST,COLUMBUS AV/W 80 ST,AMSTERDAM AV/W 86 ST,W 14 ST/9 AV,COLUMBUS AV/W 97 ST,COLUMBUS AV/W 92 ST,CATHEDRAL PY/AMSTERDAM AV,9 AV/W 50 ST,10 AV/W 21 ST,9 AV/W 30 ST,AMSTERDAM AV/W 83 ST,AMSTERDAM AV/LA SALLE ST,COLUMBUS AV/W 102 ST,HUDSON ST/W 13 ST,9 AV/W 44 ST,W 135 ST/BROADWAY,COLUMBUS AV/W 84 ST,AMSTERDAM AV/W 100 ST,W 133 ST/AMSTERDAM AV,RIVERSIDE DR/W 142 ST,9 AV/W 23 ST,9 AV/W 25 ST,AMSTERDAM AV/W 112 ST,10 AV/W 30 ST,AMSTERDAM AV/W 96 ST,RIVERSIDE DR/W 145 ST,AMSTERDAM AV/W 106 ST,AMSTERDAM AV/W 77 ST,10 AV/W 57 ST,AMSTERDAM AV/W 131 ST,COLUMBUS AV/W 89 ST,9 AV/W 46 ST,COLUMBUS AV/W 106 ST,HUDSON ST/HORATIO ST,10 AV/W 42 ST,W 135 ST/AMSTERDAM AV,COLUMBUS AV/W 72 ST,9 AV/W 34 ST,10 AV/W 23 ST,RIVERBANK/STATE PARK,COLUMBUS AV/W 86 ST,AMSTERDAM AV/W 72 ST,AMSTERDAM AV/W 67 ST,AMSTERDAM AV/W 129 ST,9 AV/W 18 ST,9 AV/W 35 ST,10 AV/W 27 ST,9 AV/W 55 ST,AMSTERDAM AV/W 104 ST,RIVERSIDE DR/W 137 ST,10 AV/W 49 ST,9 AV/W 28 ST,AMSTERDAM AV/W 89 ST,10 AV/W 47 ST,COLUMBUS AV/W 63 ST,COLUMBUS AV/W 100 ST,AMSTERDAM AV/W 59 ST,AMSTERDAM AV/W 109 ST,AMSTERDAM AV/W 93 ST,BROADWAY/W 133 ST,COLUMBUS AV/W 69 ST,AMSTERDAM AV/W 98 ST,AMSTERDAM AV/W 91 ST,10 AV/W 34 ST,RIVERSIDE DR/W 144 ST,9 AV/W 42 ST,9 AV/W 52 ST,9 AV/W 57 ST,COLUMBUS AV/W 108 ST,Michael J. Quill Depot (MQ)
COLUMBUS AV/W 72 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,
9 AV/W 34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 AV/W 23 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERBANK/STATE PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.401 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 72 ST,,,,,,,,,,,,,,,,,0.249 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 67 ST,,,,,,,,0.16 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 129 ST,,,,,,,,,,,,0.185 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 AV/W 18 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.772 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 AV/W 35 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 AV/W 27 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 AV/W 55 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 WEST VILLAGE ABINGDON SQ via 9 AV,,,
AMSTERDAM AV/W 104 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 137 ST,,,,,,,,,,,,,,,,,,,,,,0.119 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 AV/W 49 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 AV/W 28 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 89 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 RIVERBANK 145 ST via 10 AV,,,,,,,
10 AV/W 47 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 63 ST,,,,,,,,,0.159 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 100 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 59 ST,,,,,,,,,,,,,,0.239 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 109 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 93 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 133 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,1.653 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 69 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.932 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 98 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 91 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,
10 AV/W 34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 144 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.441 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 AV/W 42 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 AV/W 52 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 AV/W 57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 108 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.731 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael J. Quill Depot (MQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
