route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,drt_advance_book_min,peak_offpeak
S79+,YU_F0-Saturday-109300_SBS79_32,YU_F0-Saturday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
S61,YU_F0-Saturday-109500_MISC_182,YU_F0-Saturday,S I MALL YUKON AV,1,S610205,0.0,0
S44,YU_F0-Saturday-109500_S4494_15,YU_F0-Saturday,S I MALL YUKON AV,1,S440226,0.0,0
S61,YU_F0-Saturday-109500_S6191_16,YU_F0-Saturday,ST GEORGE FERRY,0,S610203,0.0,0
S62,YU_F0-Saturday-109500_S6292_13,YU_F0-Saturday,ST GEORGE FERRY via VICTORY,0,S620548,0.0,0
SIM1C,YU_F0-Saturday-110000_MISC_138,YU_F0-Saturday,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,SIM1C0087,0.0,0
S79+,YU_F0-Saturday-110000_SBS79_36,YU_F0-Saturday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
S79+,YU_F0-Saturday-110300_SBS79_30,YU_F0-Saturday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
S57,YU_F0-Saturday-110500_MISC_135,YU_F0-Saturday,PORT RICHMOND,0,S570226,0.0,0
S44,YU_F0-Saturday-110500_S4494_18,YU_F0-Saturday,ST GEORGE FERRY,0,S440225,0.0,0
S59,YU_F0-Saturday-110500_S59_11,YU_F0-Saturday,PORT RICHMOND,0,S590567,0.0,0
SIM1C,YU_F0-Saturday-110500_SIM1_29,YU_F0-Saturday,MIDTOWN via CHURCH ST via 6 AV,0,SIM1C0085,0.0,0
S61,YU_F0-Saturday-111000_MISC_176,YU_F0-Saturday,S I MALL YUKON AV,1,S610205,0.0,0
S44,YU_F0-Saturday-111000_S4494_20,YU_F0-Saturday,S I MALL YUKON AV,1,S440226,0.0,0
S57,YU_F0-Saturday-111000_S57_5,YU_F0-Saturday,NEW DORP MILL RD,1,S570234,0.0,0
S59,YU_F0-Saturday-111000_S59_13,YU_F0-Saturday,HYLAN BL,1,S590580,0.0,0
S62,YU_F0-Saturday-111000_S6292_23,YU_F0-Saturday,TRAVIS via VICTORY,1,S620549,0.0,0
S79+,YU_F0-Saturday-111000_SBS79_28,YU_F0-Saturday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
S61,YU_F0-Saturday-111500_S6191_13,YU_F0-Saturday,ST GEORGE FERRY,0,S610203,0.0,0
S79+,YU_F0-Saturday-111500_SBS79_33,YU_F0-Saturday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
SIM1C,YU_F0-Saturday-111500_SIM1_24,YU_F0-Saturday,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,SIM1C0087,0.0,0
S44,YU_F0-Saturday-112000_S4494_17,YU_F0-Saturday,ST GEORGE FERRY,0,S440225,0.0,0
S79+,YU_F0-Saturday-112000_SBS79_27,YU_F0-Saturday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
