"Route","Average Weekday Ridership, 2011","Average Weekday Ridership, 2016","Ridership Change, 2011-2016","On-Time Performance 2016","Wait Assessment 2016","Average Speed (mph)","Length of Route (in miles)","Frequency during AM Rush, Buses per Hour (7:30am to 8:30am)","Frequency in the Evening, Buses per Hour (8:30pm to 10:30pm)","# of Stops along Route","Average Distance Between Stops (in feet)","# of Turns along Route","Bus Stops within .1 Miles of a Subway Station","# of Subway lines that intersect the Route","Borough","MTA Service Standard: Minimum Desired Distance Between Stops (750 feet)","","","","","","","","","",""
"B60","11,969","9,906","-17%","58%","75%","6","7.9","8","3","68","623","13","13","6","Brooklyn","750","","","","","","","","","",""
"B61","11,378","9,945","-13%","68%","81%","6","5.8","8","4","43","735","15","9","9","Brooklyn","750","","","","","","","","","",""
"B62","10,899","7,882","-28%","54%","75%","6","7.6","9","4","48","861","21","10","9","Brooklyn","750","","","","","","","","","",""
"B63","12,441","11,607","-7%","65%","80%","5","8.2","7","3","57","776","12","4","9","Brooklyn","750","","","","","","","","","",""
"B64","5,581","5,732","3%","71%","84%","7","6.9","6","3","50","754","12","3","5","Brooklyn","750","","","","","","","","","",""
"B65","3,810","3,398","-11%","59%","76%","6","4.5","6","3","33","747","3","4","7","Brooklyn","750","","","","","","","","","",""
"B67","4,200","4,504","7%","64%","81%","6","7.1","5","3","45","859","22","11","11","Brooklyn","750","","","","","","","","","",""
"B68","15,465","14,159","-8%","67%","80%","7","7.6","8","4","52","793","9","6","6","Brooklyn","750","","","","","","","","","",""
"B69","3,572","4,225","18%","66%","81%","6","6.2","6","2","46","728","22","7","6","Brooklyn","750","","","","","","","","","",""
"B70","5,637","5,942","5%","70%","83%","6","4.8","5","3","37","715","11","2","1","Brooklyn","750","","","","","","","","","",""
"B74","4,357","4,225","-3%","71%","84%","8","3.0","8","6","28","611","2","2","4","Brooklyn","750","","","","","","","","","",""
"B82","27,068","27,959","3%","52%","74%","7","12.8","16","6","79","865","16","6","6","Brooklyn","750","","","","","","","","","",""
"B83","8,579","8,281","-3%","60%","77%","7","6.0","10","5","31","1,071","9","5","5","Brooklyn","750","","","","","","","","","",""
"B84","0","595","","81%","89%","9","2.2","3","1","13","972","8","2","1","Brooklyn","750","","","","","","","","","",""
"B100*","4,682","5,387","15%","77%","84%","9","4.4","12","4","29","823","15","1","2","Brooklyn","750","","","","","","","","","",""
"B103*","11,064","14,448","31%","45%","74%","8","11.8","20","5","38","1,680","17","6","8","Brooklyn","750","","","","","","","","","",""
"M1","13,275","10,436","-21%","36%","66%","6","9.4","12","4","62","816","9","10","8","Manhattan","750","","","","","","","","","",""
"M2","12,621","9,275","-27%","50%","77%","6","10.5","7","4","73","769","11","16","12","Manhattan","750","","","","","","","","","",""
"M3","15,433","13,149","-15%","41%","68%","6","10.5","6","6","80","702","9","24","14","Manhattan","750","","","","","","","","","",""
"M4","20,443","16,235","-21%","43%","69%","6","12.1","12","6","79","827","6","21","12","Manhattan","750","","","","","","","","","",""
"M5","14,491","10,063","-31%","41%","70%","7","9.4","12","4","63","807","7","16","13","Manhattan","750","","","","","","","","","",""
"M7","16,557","12,905","-22%","41%","69%","6","7.8","7","4","61","696","9","28","17","Manhattan","750","","","","","","","","","",""
