ID,Make,Model,Year,Depot
5421,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5422,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5423,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5424,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5425,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5426,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5427,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5428,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5429,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5430,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5431,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5432,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5433,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5434,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5435,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5436,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5437,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5438,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
3113,Motor Coach Industries,D4500CL Commuter Coach,2005,Baisley Park Depot (MTA Bus)
3258,Motor Coach Industries,D4500CL Commuter Coach,2006,Baisley Park Depot (MTA Bus)
3259,Motor Coach Industries,D4500CL Commuter Coach,2006,Baisley Park Depot (MTA Bus)
3260,Motor Coach Industries,D4500CL Commuter Coach,2006,Baisley Park Depot (MTA Bus)
3306,Motor Coach Industries,D4500CL Commuter Coach,2006,Baisley Park Depot (MTA Bus)
3315,Motor Coach Industries,D4500CL Commuter Coach,2006,Baisley Park Depot (MTA Bus)
3330,Motor Coach Industries,D4500CL Commuter Coach,2007,Baisley Park Depot (MTA Bus)
3361,Motor Coach Industries,D4500CL Commuter Coach,2007,Baisley Park Depot (MTA Bus)
4132,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4133,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4135,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4171,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4172,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4173,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4174,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4175,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4176,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4177,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4178,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4179,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4180,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4181,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4182,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4183,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4184,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4185,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4186,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4187,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4188,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4189,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4190,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4191,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4192,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4193,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
4194,Daimler Buses,Orion VII Next Generation Hybrid Low Floor,2009,Casey Stengel Bus Depot (New York City Transit)
