Route,Direction,Stop 1,Stop 2,Stop 3,Stop 4,Stop 5,Stop 6,Stop 7,Stop 8,Stop 9,Stop 10,Stop 11,Stop 12,Stop 13,Stop 14,Stop 15,Stop 16,Stop 17,Stop 18,Stop 19,Stop 20,Stop 21,Stop 22,Stop 23,Stop 24,Stop 25,Stop 26,Stop 27,Stop 28,Stop 29,Stop 30,Stop 31,Stop 32,Stop 33,Stop 34,Stop 35,Stop 36,Stop 37,Stop 38,Stop 39,Stop 40,Stop 41,Stop 42,Stop 43,Stop 44,Stop 45,Stop 46,Stop 47,Stop 48,Stop 49,Stop 50,Stop 51,Stop 52,Stop 53,Stop 54,Stop 55,Stop 56,Stop 57,Stop 58,Stop 59,Stop 60,Stop 61,Stop 62,Stop 63,Stop 64,Stop 65,Stop 66,Stop 67,Stop 68,Stop 69,Stop 70,Stop 71,Stop 72,Stop 73,Stop 74,Stop 75,Stop 76,Stop 77,Stop 78,Stop 79,Stop 80,Stop 81,Stop 82,Stop 83,Stop 84,Stop 85,Stop 86,Stop 87,Stop 88,Stop 89,Stop 90,Stop 91,Stop 92,Stop 93,Stop 94,Stop 95,Stop 96,Stop 97,Stop 98,Stop 99,Stop 100,Stop 101,Stop 102,Stop 103,Stop 104,Stop 105,Stop 106,Stop 107,Stop 108,Stop 109,Stop 110,Stop 111,Stop 112,Stop 113,Stop 114,Stop 115,Stop 116,Stop 117
M72,EAST SIDE YORK AV CROSSTOWN,WEST 66 ST/FREEDOM PL,W 70 ST/FREEDOM PL,WEST END AV/WEST 70 ST,W 72 ST/WEST END AV,W 72 ST/BROADWAY,W 72 ST/COLUMBUS AV,W 72 ST/CENTRAL PK W,CENTRAL PK W/W 70 ST,CENTRAL PK W/W 68 ST,E 65 ST/5 AV,MADISON AV/E 65 ST,MADISON AV/E 67 ST,MADISON AV/E 69 ST,E 72 ST/MADISON AV,E 72 ST/LEXINGTON AV,E 72 ST/3 AV,E 72 ST/2 AV,E 72 ST/1 AV,E 72 ST/YORK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M72,WEST SIDE FREEDOM PL CROSSTOWN,E 72 ST/YORK AV,E 72 ST/1 AV,E 72 ST/2 AV,E 72 ST/3 AV,E 72 ST/LEXINGTON AV,E 72 ST/MADISON AV,5 AV/E 72 ST,5 AV/E 69 ST,5 AV/E  67 ST,CENTRAL PK W/W 67 ST,CENTRAL PK W/W 69 ST,W 72 ST/CENTRAL PK W,W 72 ST/COLUMBUS AV,W 72 ST/AMSTERDAM AV,W 72 ST/BROADWAY,WEST END AV/W 72 ST,W 70 ST/WEST END AV,RIVERSIDE BL/W 69 ST,W 66 ST/FREEDOM PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M79-SBS,SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,E 79 ST/EAST END AV,E 79 ST/YORK AV,E 79 ST/1 AV,E 79 ST/2 AV,E 79 ST/3 AV,E 79 ST/LEXINGTON AV,E 79 ST/MADISON AV,E 79 ST/5 AV,E 79 ST TRANSVERSE/E 79 ST TRANSVERSE,W 81 ST/CENTRAL PK W,COLUMBUS AV/W 80 ST,W 79 ST/AMSTERDAM AV,W 79 ST/BROADWAY,W 79 ST/RIVERSIDE DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M79-SBS,SELECT BUS YRKVLLE EAST END AV CROSSTOWN,W 79 ST/RIVERSIDE DR,W 79 ST/BROADWAY,AMSTERDAM AV/W 79 ST,W 81 ST/COLUMBUS AV,W 81 ST/CENTRAL PK W,E 79 ST TRANSVERSE/E 79 ST TRANSVERSE,E 79 ST/5 AV,E 79 ST/MADISON AV,E 79 ST/LEXINGTON AV,E 79 ST/3 AV,E 79 ST/2 AV,E 79 ST/1 AV,YORK AV/E 79 ST,E 80 ST/EAST END AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8,AVENUE D CROSSTOWN,WEST ST/CHRISTOPHER ST,W 10 ST/WASHINGTON ST,W 10 ST/GREENWICH ST,W 10 ST/HUDSON ST,W 10 ST/BLEECKER ST,W 10 ST/7 AV S,W 10 ST/WAVERLY PL,GREENWICH ST/CHRISTOPHER ST,W 8 ST/AV OF THE AMERICAS,W 8 ST/5 AV,E 8 ST/UNIVERSITY PL,E 8 ST/MERCER ST,E 8 ST/LAFAYETTE ST,ST MARKS PL/3 AV,ST MARKS PL/2 AV,ST MARKS PL/1 AV,ST MARKS PL/AV A,E 10 ST/AV A,E 10 ST/AV B,E 10 ST/AV C,E 10 ST/AV D,AV D/LOOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8,WEST ST CROSSTOWN,E 10 ST/AV D,E 10 ST/AV C,E 10 ST/AV B,E 10 ST/AV A,E 9 ST/AV A,E 9 ST/1 AV,E 9 ST/2 AV,E 9 ST/3 AV,E 9 ST/4 AV,E 9 ST/BROADWAY,E 9 ST/UNIVERSITY PL,W 9 ST/5 AV,W 9 ST/AV OF THE AMERICAS,CHRISTOPHER ST/GREENWICH AV,CHRISTOPHER ST/WAVERLY PL,CHRISTOPHER ST/7 AV S,CHRISTOPHER ST/BLEECKER ST,CHRISTOPHER ST/HUDSON ST,CHRISTOPHER ST/GREENWICH ST,CHRISTOPHER ST/WASHINGTON ST,WEST ST/CHRISTOPHER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M86-SBS,SELECT BUS WESTSIDE WEST END AV CROSSTWN,E 92 ST/YORK AV,YORK AV/E 91 ST,YORK AV/E 87 ST,E 86 ST/1 AV,E 86 ST/2 AV,E 86 ST/3 AV,E 86 ST/LEXINGTON AV,E 86 ST/MADISON AV,E 86 ST/5 AV,W 86 ST/TRANSVERSE,W 86 ST/CENTRAL PK W,W 86 ST/COLUMBUS AV,W 86 ST/AMSTERDAM AV,W 86 ST/BROADWAY,W 86 ST/WEST END AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M86-SBS,SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,W 86 ST/WEST END AV,W 86 ST/BROADWAY,W 86 ST/AMSTERDAM AV,W 86 ST/COLUMBUS AV,W 86 ST/CENTRAL PK W,W 86 ST/TRANSVERSE,E 84 ST/5 AV,E 86 ST/MADISON AV,E 86 ST/LEXINGTON  AV,E 86 ST/3 AV,E 86 ST/2 AV,E 86 ST/1 AV,YORK AV/E 86 ST,YORK AV/E 88 ST,E 91 ST/YORK AV,1 AV/E 91 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9,BATTERY PK CITY via AVENUE C via PK ROW,1 AV/E 27 ST,E 29 ST/1 AV,E 29 ST/2 AV,E 23 ST/2 AV,E 23 ST/1 AV,AVENUE C/E 23 ST,AV C/E 20 ST,AV C/E 18 ST,AV C/E 16 ST,AV C/E 14 ST,AV C/E 12 ST,AV C/E 10 ST,AV C/E 8 ST,AV C/E 6 ST,AV C/E 3 ST,E HOUSTON ST/AV C,E HOUSTON ST/AV B,ESSEX ST/E HOUSTON ST,ESSEX ST/DELANCEY ST,ESSEX ST/GRAND ST,ESSEX ST/ E BROADWAY,E BROADWAY/PIKE ST,E BROADWAY/MARKET ST,E BROADWAY/CATHERINE ST,PARK ROW/WORTH ST,PARK ROW/BEEKMAN ST,MURRAY ST/CHURCH ST,MURRAY ST/GREENWICH ST,WEST THAMES ST/SOUTH END AV,SOUTH END AV/ALBANY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9,KIPS BAY 1 AV - 26 ST via AVENUE C,SOUTH END AV/ALBANY ST,WARREN ST/GREENWICH ST,WARREN ST/CHURCH ST,PARK ROW/BEEKMAN ST,PARK ROW/ST JAMES PL,E BROADWAY/CATHERINE ST,E BROADWAY/FORSYTH ST,E BROADWAY/PIKE ST,ESSEX ST/CANAL ST,ESSEX ST/GRAND ST,ESSEX ST/DELANCEY ST,E HOUSTON ST/NORFOLK ST,E HOUSTON ST/CLINTON ST,E HOUSTON ST/RIDGE ST,AV C/E 3 ST,AV C/E 5 ST,AV C/E 7 ST,AV C/E 11 ST,AV C/E 14 ST,AV C/E 16 ST,AV C/FDR DRIVE,E 20 ST/E 20 ST Loop,1 AV/E 23 ST,1 AV/E 26 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M96,EAST SIDE 1 AV CROSSTOWN,W 96 ST/WEST END AV,W 96 ST/BROADWAY,W 96 ST/AMSTERDAM AV,W 96 ST/COLUMBUS AV,W 96 ST/CENTRAL PK W,E 96 ST/5 AV,E 96 ST/MADISON AV,E 96 ST/LEXINGTON AV,E 96 ST/3 AV,E 96 ST/2 AV,E 97 ST/1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M96,WEST SIDE WEST END AV CROSSTOWN,E 97 ST/1 AV,E 96 ST/2 AV,E 96 ST/3 AV,E 96 ST/LEXINGTON AV,E 96 ST/MADISON AV,E 97 ST/5 AV,CENTRAL PK W/W 97 ST,W 96 ST/COLUMBUS AV,W 96 ST/AMSTERDAM AV,W 96 ST/BROADWAY,W 97 ST/WEST END AV,W 96 ST/WEST END AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M98,LIMITED MIDTOWN LEX AV-68 ST,FT WASHINGTON AV/CABRINI BL,FT WASHINGTON AV/W 190 ST,FT WASHINGTON AV/W 187 ST,FT WASHINGTON AV/W 185 ST,FT WASHINGTON AV/W 183 ST,FT WASHINGTON AV/W 181 ST,W 178 ST/BROADWAY,W 178 ST/ST NICHOLAS AV,W 178 ST/AUDUBON AV,PARK AV/E 125 ST,LEXINGTON AV/E 116 ST,LEXINGTON AV/E 106 ST,LEXINGTON AV/E 96 ST,LEXINGTON AV/E 86 ST,LEXINGTON AV/E 79 ST,LEXINGTON AV/E 72 ST,LEXINGTON AV/E 68 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M98,LIMITED WSHNGTN HTS CABRINI BL via 3 AV,3 AV/E 67 ST,3 AV/E 72 ST,3 AV/E 79 ST,3 AV/E 86 ST,3 AV/E 97 ST,3 AV/E 106 ST,3 AV/E 116 ST,3 AV/E 125 ST,W 179 ST/AMSTERDAM AV,W 179 ST/ST NICHOLAS AV,W 179 ST/WADSWORTH AV,W 179 ST/BROADWAY,FT WASHINGTON AV/W 181 ST,FT WASHINGTON AV/W 183 ST,FT WASHINGTON AV/W 185 ST,FT WASHINGTON AV/W 187 ST,FT WASHINGTON AV/W 190 ST,FT WASHINGTON AV/CABRINI BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BELLEROSE 243 ST,165 ST/TERMINAL,165 ST/HILLSIDE AV,HILLSIDE AV/168 PL,HILLSIDE AV/171 ST,HILLSIDE AV/175 ST,HILLSIDE AV/180 ST,HILLSIDE AV/182 PL,HILLSIDE AV/184 ST,HILLSIDE AV/187 ST,HILLSIDE AV/189 ST,HILLSIDE AV/191 ST,HILLSIDE AV/193 ST,HILLSIDE AV/195 PL,HILLSIDE AV/199 ST,HILLSIDE AV/202 ST,HILLSIDE AV/205 ST,HILLSIDE AV/207 ST,HILLSIDE AV/210 ST,HILLSIDE AV/212 ST,HILLSIDE AV/214 ST,HILLSIDE AV/215 PL,HILLSIDE AV/218 ST,HILLSIDE AV/SPRINGFIELD BL,BRADDOCK AV/89 AV,SPRINGFIELD BL/89 AV,BRADDOCK AV/221 PL,SPRINGFIELD BL/90 AV,BRADDOCK AV/90 AV,SPRINGFIELD BL/91 AV,BRADDOCK AV/WINCHESTER BL,BRADDOCK AV/222 ST,SPRINGFIELD BL/92 AV,BRADDOCK AV /224 ST,BRADDOCK AV/92 AV,SPRINGFIELD BL/93 AV,BRADDOCK AV/92 RD,SPRINGFIELD BL/94 AV,BRADDOCK AV /240 ST,SPRINGFIELD BL/94 DR,SPRINGFIELD BL/JAMAICA AV,BRADDOCK AV/242 ST,AMBOY LA/SPRINGFIELD BL,BRADDOCK AV/CROSS ISLAND PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,JAMAICA 165 ST TERM,BRADDOCK AV/CROSS ISLAND PY,BRADDOCK AV/CROSS ISLAND PY,BRADDOCK AV/242 ST,AMBOY LA/SPRINGFIELD BL,SPRINGFIELD BL/JAMAICA AV,BRADDOCK AV /240 ST,SPRINGFIELD BL/94 DR,BRADDOCK AV/238 ST,SPRINGFIELD BL / 94 AV,BRADDOCK AV/LYMAN ST,SPRINGFIELD BL/93 AV,BRADDOCK AV/RANSOM ST,SPRINGFIELD BL/92 AV,BRADDOCK AV/WINCHESTER BL,SPRINGFIELD BL/91 AV,BRADDOCK AV/BILLINGS ST,SPRINGFIELD BL/90 AV,BRADDOCK AV/221 PL,SPRINGFIELD BL/89 AV,HILLSIDE AV/SPRINGFIELD BL,HILLSIDE AV/218 ST,HILLSIDE AV/215 PL,HILLSIDE AV/214 ST,HILLSIDE AV/212 ST,HILLSIDE AV/211 ST,HILLSIDE AV/209 ST,HILLSIDE AV/FRANCIS LEWIS BL,HILLSIDE AV/202 ST,HILLSIDE AV/198 ST,HILLSIDE AV/193 ST,HILLSIDE AV/191 ST,HILLSIDE AV/188 ST,HILLSIDE AV/187 ST,HILLSIDE AV/AVON ST,HILLSIDE AV/179 ST SUBWAY,HILLSIDE AV/EDGERTON BL,HILLSIDE AV/172 ST,HILLSIDE AV/169 ST,165 ST / 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12,FLUSHING MAIN ST STATION via NORTHERN,NORTHERN BL/MORGAN ST,NORTHERN BL/LITTLE NECK PY,NORTHERN BL/MARATHON PY,NORTHERN BL/244 ST,NORTHERN BL/DOUGLASTON PY,NORTHERN BL/ALAMEDA AV,NORTHERN BL/232 ST,NORTHERN BL/227 ST,NORTHERN BL/223 ST,NORTHERN BL/221 ST,NORTHERN BL/219 ST,NORTHERN BL/217 ST,NORTHERN BL/215 PL,NORTHERN BL/BELL BL,NORTHERN BL/212 ST,NORTHERN BL/CORPORAL KENNEDY ST,NORTHERN BL/CLEARVIEW EP,NORTHERN BL/204 ST,NORTHERN BL/202 ST,NORTHERN BL/FRANCIS LEWIS BL,NORTHERN BL/194 ST,NORTHERN BL/192 ST,NORTHERN BL/189 ST,NORTHERN BL/171 ST,NORTHERN BL/169 ST,SANFORD AV/165 ST,SANFORD AV/162 ST,SANFORD AV/158 ST,SANFORD AV/156 ST,SANFORD AV/149 ST,SANFORD AV/147 ST,SANFORD AV/PARSONS BL,BOWNE ST/SANFORD AV,ROOSEVELT AV/BOWNE ST,ROOSEVELT AV /UNION ST,ROOSEVELT AV/UNION ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12,LITTLE NECK GLENWOOD ST VIA NORTHERN,ROOSEVELT AV /UNION ST,ROOSEVELT AV/BOWNE ST,BOWNE ST/41 AV,SANFORD AV/147 ST,SANFORD AV/149 ST,SANFORD AV/156 ST,SANFORD AV/158 ST,SANFORD AV/162 ST,SANFORD AV/165 ST,NORTHERN BL/168 ST,NORTHERN BL/171 ST,NORTHERN BL/UTOPIA PY,NORTHERN BL/192 ST,NORTHERN BL/194 ST,NORTHERN BL/FRANCIS LEWIS BL,NORTHERN BL/202 ST,NORTHERN BL/204 ST,NORTHERN BL/CLEARVIEW EP,NORTHERN BL/CORPORAL KENNEDY ST,NORTHERN BL/211 ST,NORTHERN BL/BELL BL,NORTHERN BL/215 ST,NORTHERN BL/217 ST,NORTHERN BL/SPRINGFIELD BL,NORTHERN BL/220 PL,NORTHERN BL/223 ST,NORTHERN BL/230 ST,NORTHERN BL/232 ST,NORTHERN BL/ALAMEDA AV,NORTHERN BL/243 ST,NORTHERN BL/244 ST,NORTHERN BL/MARATHON PY,NORTHERN BL/BROWVALE LA,PEMBROKE AV/GLENWOOD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13,FLUSHING MAIN ST STATION,TOTTEN AV/CROSS ISLAND PY,BELL BL/212 ST,BELL BL/14 AV,BELL BL/16 AV,BELL BL/18 AV,BELL BL/23 AV,BELL BL/24 AV,BELL BL/28 AV,BELL BL/29 AV,BELL BL/32 AV,BELL BL/33 AV,BELL BL/33 RD,BELL BL/35 AV,BELL BL/38 AV,BELL BL/39 AV,BELL BL/41 AV,BELL BL/43 AV,BELL BL/NORTHERN BL,NORTHERN BL/212 ST,NORTHERN BL/CORPORAL KENNEDY ST,NORTHERN BL/CLEARVIEW EP,NORTHERN BL/204 ST,NORTHERN BL/202 ST,NORTHERN BL/FRANCIS LEWIS BL,NORTHERN BL/196 ST,NORTHERN BL/194 ST,NORTHERN BL/192 ST,NORTHERN BL/189 ST,NORTHERN BL/172 ST,NORTHERN BL/171 ST,NORTHERN BL/169 ST,NORTHERN BL/167 ST,NORTHERN BL/165 ST,NORTHERN BL/STATION RD,NORTHERN BL/161 ST,NORTHERN BL/159 ST,NORTHERN BL/157 ST,NORTHERN BL/154 ST,NORTHERN BL/MURRAY ST,NORTHERN BL/150 ST,NORTHERN BL/149 ST,NORTHERN BL/146 ST,NORTHERN BL/PARSONS BL,NORTHERN BL/BOWNE ST,UNION ST/NORTHERN BL,39 AV /138 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13,FORT TOTTEN,39 AV /138 ST,UNION AV/NORTHERN BL,NORTHERN BL/BOWNE ST,NORTHERN BL/PARSONS BL,NORTHERN BL/147 ST,NORTHERN BL/149 ST,NORTHERN BL/150 ST,NORTHERN BL/MURRAY ST,NORTHERN BL/154 ST,NORTHERN BL/ROOSEVELT AV,NORTHERN BL/157 ST,NORTHERN BL/159 ST,NORTHERN BL/163 ST,NORTHERN BL/166 ST,NORTHERN BL/168 ST,NORTHERN BL/171 ST,NORTHERN BL/AUBURNDALE LA,NORTHERN BL/UTOPIA PY,NORTHERN BL/190 ST,NORTHERN BL/192 ST,NORTHERN BL/194 ST,NORTHERN BL/196 ST,NORTHERN BL/FRANCIS LEWIS BL,NORTHERN BL/202 ST,NORTHERN BL/204 ST,NORTHERN BL/CLEARVIEW EP,NORTHERN BL/CORPORAL KENNEDY ST,NORTHERN BL/211 ST,BELL BL/NORTHERN BL,BELL BL/42 AV,BELL BL/40 AV,BELL BL/38 AV,BELL BL/36 AV,BELL BL/35 AV,BELL BL/33 RD,BELL BL/33 AV,BELL BL/32 AV,BELL BL/29 AV,BELL BL/28 AV,BELL BL/24 AV,BELL BL/24 AV,BELL BL/23 AV,BELL BL/18 AV,BELL BL/16 AV,BELL BL/14 AV,BELL BL/212 ST,TOTTEN AV /CROSS ISLAND PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15,BEECHHURST POWELLS COVE BL via 154 ST,ROOSEVELT AV/MAIN ST,ROOSEVELT AV/BOWNE ST,41 AV/PARSONS BL,41 AV/147 ST,41 AV/149 ST,150 ST/ROOSEVELT AV,150 ST/NORTHERN BL,150 ST/34 AV,150 ST/33 AV,150 ST/BAYSIDE AV,150 ST/29 AV,150 ST/27 AV,150 ST/25 DR,150 ST/24 RD,150 ST/23 AV,150 ST/21 AV,150 ST/20 AV,150 ST/18 AV,150 ST/17 AV,150 ST/15 DR,CROSS ISLAND PKY/150 ST,CROSS ISLAND PKY/CLINTONVILLE ST,CROSS ISLAND PY/154 ST,154 ST/CRYDERS LA,154 ST/14 AV,154 ST/12 RD,154 ST/11 AV,154 ST/9 AV,POWELLS COVE BL/157 ST,POWELLS COVE BL/160 ST,162 ST/POWELL'S COVE BL,166 ST / POWELLS COVE BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15,FLUSHING MAIN ST STATION via 154 ST,166 ST/POWELLS COVE BL,POWELLS COVE BL/162 ST,POWELLS COVE BL/160 ST,POWELLS COVE BL/159 ST,154 ST/POWELLS COVE BL,154 ST/11 AV,154 ST/12 RD,154 ST/14 AV,154 ST/CROSS ISLAND PY,CROSS ISLAND PKY/CLINTONVILLE ST,CROSS ISLAND PY/150 PL,150 ST/CROSS ISLAND PY SVC RD,150 ST/16 RD,150 ST/17 RD,150 ST/19 AV,150 ST/20 RD,150 ST/22 AV,150 ST/24 AV,150 ST/25 AV,150 ST/27 AV,150 ST/BAYSIDE AV,150 ST/33 AV,150 ST/34 AV,150 ST/35 AV,150 ST/NORTHERN BL,150 ST/ROOSEVELT AV,41 AV/150 ST,41 AV/149 ST,41 AV/147 ST,41 AV/PARSONS BL,ROOSEVELT AV/BOWNE ST,ROOSEVELT AV/UNION ST,ROOSEVELT AV/MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15A,BEECHHURST POWELLS COVE BL via 10 AV,ROOSEVELT AV/MAIN ST,ROOSEVELT AV/BOWNE ST,41 AV/PARSONS BL,41 AV/147 ST,41 AV/149 ST,150 ST/ROOSEVELT AV,150 ST/NORTHERN BL,150 ST/34 AV,150 ST/33 AV,150 ST/BAYSIDE AV,150 ST/29 AV,150 ST/27 AV,150 ST/25 DR,150 ST/24 RD,150 ST/23 AV,150 ST/21 AV,150 ST/20 AV,150 ST/18 AV,150 ST/17 AV,150 ST/15 DR,150 ST/CROSS ISLAND PKY SVC RD S,150 ST/14 AV,150 ST/12 AV,150 ST/10 AV,150 ST/8 AV,7 AV/150 ST,CLINTONVILLE ST/7 AV,CLINTONVILLE ST/10 AV,10 AV/152 ST,154 ST/9 AV,POWELLS COVE BL/157 ST,POWELLS COVE BL/160 ST,162 ST/POWELL'S COVE BL,166 ST / POWELLS COVE BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15A,FLUSHING MAIN ST STATION via 10 AV,166 ST/POWELLS COVE BL,POWELLS COVE BL/162 ST,POWELLS COVE BL/160 ST,POWELLS COVE BL/159 ST,154 ST/POWELLS COVE BL,154 ST/10 AV,10 AV/ 152 ST,CLINTONVILLE ST/10 AV,151 ST/7 AV,150 ST/7 AV,150 ST/9 AV,150 ST/11 AV,150 ST/14 AV,150 ST/CROSS ISLAND PY SVC RD,150 ST/16 RD,150 ST/17 RD,150 ST/19 AV,150 ST/20 RD,150 ST/22 AV,150 ST/24 AV,150 ST/25 AV,150 ST/27 AV,150 ST/BAYSIDE AV,150 ST/33 AV,150 ST/34 AV,150 ST/35 AV,150 ST/NORTHERN BL,150 ST/ROOSEVELT AV,41 AV/150 ST,41 AV/149 ST,41 AV/147 ST,41 AV/PARSONS BL,ROOSEVELT AV/BOWNE ST,ROOSEVELT AV/UNION ST,ROOSEVELT AV/MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16,FLUSHING MAIN ST STA via FRANCIS LEWIS,TOTTEN AV/CROSS ISLAND PY,CROSS ISLAND PKWY/212 ST,CROSS ISLAND PKWY/208 PL,CROSS ISLAND PKWY/BAYRIDGE CONDO,CROSS ISLAND PKWY/GOLF COURSE,CROSS ISLE PY/UTOPIA PY,WILLETS PT BL/CROSS ISLE PY SR S,UTOPIA PY/WILLETS POINT BL,WILLETS PT BL/17 AV,UTOPIA PY/16 AV,WILLETS PT BL/160-57 WILLETS PT BL,UTOPIA PY/169 ST,FRANCIS LEWIS BL/WILLETS PT BL,UTOPIA PY/19 AV,FRANCIS LEWIS BL/21 AV,FRANCIS LEWIS BL/163 ST,UTOPIA PY/21 RD,FRANCIS LEWIS BL/24 AV,UTOPIA PY/24 AV,FRANCIS LEWIS BL/25 AV,UTOPIA PY/25 AV,FRANCIS LEWIS BL/168 ST,FRANCIS LEWIS BL/169 ST,FRANCIS LEWIS BL/170 ST,29 AV/171 ST,29 AV/169 ST,29 AV/167 ST,29 AV/165 ST,29 AV / 163 ST,29 AV/161 ST,29 AV/159 ST,29 AV/157 ST,BAYSIDE AV/154 ST,BAYSIDE AV/MURRAY ST,BAYSIDE AV/150 ST,BAYSIDE AV/149 ST,BAYSIDE AV/148 ST,BAYSIDE AV/146 ST,BAYSIDE AV/PARSONS BL,BAYSIDE AV/UNION ST,UNION ST/33 AV,UNION ST/35 AV,UNION ST/NORTHERN BL,UNION ST/NORTHERN BL,39 AV/UNION ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
