route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
B2,FB_F0-Saturday-130900_B31_106,FB_F0-Saturday,KINGS PLAZA,0,B20053
B46+,FB_F0-Saturday-130900_SBS46_631,FB_F0-Saturday,SELECT BUS KINGS PLAZA via UTICA,1,SBS460042
B2,FB_F0-Saturday-131000_B2_4,FB_F0-Saturday,MIDWOOD KINGS HWY STATION,1,B20054
B31,FB_F0-Saturday-131000_B31_107,FB_F0-Saturday,MIDWOOD KINGS HIGHWAY STA,0,B310050
B31,FB_F0-Saturday-131000_B31_108,FB_F0-Saturday,GERRITSEN BCH,1,B310049
B41,FB_F0-Saturday-131000_B41_67,FB_F0-Saturday,BERGEN BEACH VETERANS AV via FLATBUSH,1,B410399
B44,FB_F0-Saturday-131000_B44_29,FB_F0-Saturday,AVENUE U via NOSTRAND,1,B440380
B49,FB_F0-Saturday-131200_B49_21,FB_F0-Saturday,MANHATTAN BCH KINGSBORO CC via BEDFORD,1,B490209
B41,FB_F0-Saturday-131300_B41_63,FB_F0-Saturday,DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,0,B410395
B46,FB_F0-Saturday-131300_B46_35,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via UTICA,0,B460336
B44+,FB_F0-Saturday-131300_SB44_526,FB_F0-Saturday,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,1,SB440082
B46+,FB_F0-Saturday-131600_SBS46_627,FB_F0-Saturday,SELECT BUS DEKALB AV via UTICA,0,SBS460048
B46,FB_F0-Saturday-131700_B46_33,FB_F0-Saturday,KINGS PLAZA via UTICA,1,B460335
B44,FB_F0-Saturday-131800_B44_43,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via NOSTRAND,0,B440373
B46+,FB_F0-Saturday-131900_SBS46_621,FB_F0-Saturday,SELECT BUS KINGS PLAZA via UTICA,1,SBS460042
B44,FB_F0-Saturday-132000_B44_37,FB_F0-Saturday,EMMONS AV,1,B440381
B49,FB_F0-Saturday-132000_B49_26,FB_F0-Saturday,BED-STUY FULTON ST via OCEAN via ROGERS,0,B490214
B44+,FB_F0-Saturday-132000_SB44_530,FB_F0-Saturday,SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,0,SB440072
B41,FB_F0-Saturday-132200_B41_69,FB_F0-Saturday,KINGS PLAZA via FLATBUSH,1,B410400
